vars,mask
2,0.05
4,0.1
6,0.2
8,0.25
10,0.5
12,0.5
14,0.5
16,0.75
18,1
20,1.25
22,1.75
24,1.5
26,1.75
28,2
30,2
32,2.5
34,2.5
36,2.5
38,2.5
40,2.5
42,2.25
44,2.25
46,1.5
48,1.25
50,0.375
52,1.5
54,2.25
56,1.75
58,2.25
60,2.25
62,3.5
64,2.75
66,3.25
68,3.25
70,2.5
72,3.25
74,4.25
76,3.25
78,3.25
80,2.75
82,3.75
84,3.5
86,3.5
88,3.5
90,4.75
92,4
94,5
96,4.5
98,3.5
100,4.25
102,4.25
104,4.5
106,4.5
108,4.25
110,5.5
112,5.5
114,5.5
116,5.5
118,5.5
120,5.5
122,4.5
124,5.25
126,5.25
128,5.25
130,5.25
132,5.25
134,5.25
136,5.25
138,5.25
140,5.25
142,5.25
144,5.25
146,5.25
148,5.25
150,5.25
152,5.25
154,5.25
156,5.25
158,5.25
160,5.25
162,5.25
164,5.25
166,5.25
168,5.25
170,5.25
172,5.25
174,5.25
176,5.25
178,5.25
180,5.25
182,5.25
184,5.25
186,5.25
188,5.25
190,5.25
192,5.25
194,5.25
196,5.25
198,5.25
200,5.25
202,5.25
decay,2.5e-4
window,302
